plate,raw_track,expected_stage_flow,actual_stage_flow,expected_report_sequence,actual_report_sequence,status
KA5257TB,2026-03-17 16:03:07 Service -> Drive-In ; 2026-03-18 08:50:55 Service -> Drive-In,,,,,OK
KA5412BM,2026-03-18 09:03:01 Service -> Drive-In ; 2026-03-19 08:27:04 Service -> Drive-In,,,,,OK
KA603H,2026-03-18 17:44:29 Service In,Service,Service,Service [2026-03-18 17:44:29 → ∅],Service [2026-03-18T17:44:29.869 → ∅],DIFF
KA6050H,2026-03-18 17:44:30 Service In,Service,Service,Service [2026-03-18 17:44:30 → ∅],Service [2026-03-18T17:44:30.013 → ∅],DIFF
KA6050PH,2026-03-18 12:44:15 Service -> Drive-In ; 2026-03-18 17:43:49 Drive-In -> Service ; 2026-03-19 11:12:54 Service Out,Backyard → Service*,Backyard,Backyard [2026-03-18 17:43:49 → ∅] ; Service [∅ → 2026-03-19 11:12:54],Backyard [2026-03-18T17:43:49.418 → ∅],DIFF
KA6137MT,2026-03-17 12:54:53 Parking In ; 2026-03-17 13:01:20 Drive-In -> Service,Parking → Backyard,Parking → Backyard,Parking [2026-03-17 12:54:53 → 2026-03-17 13:01:19] ; Backyard [2026-03-17 13:01:20 → ∅],Parking [2026-03-17T12:54:53.762 → 2026-03-17T13:01:19.218] ; Backyard [2026-03-17T13:01:20.218 → ∅],DIFF
KA6274EX,2026-03-17 15:02:21 Service -> Drive-In ; 2026-03-17 15:05:11 Drive-In -> Service,Backyard,Backyard,Backyard [2026-03-17 15:05:11 → ∅],Backyard [2026-03-17T15:05:11.365 → ∅],DIFF
KA6550TB,2026-03-18 13:56:58 Service -> Drive-In ; 2026-03-18 14:22:21 Drive-In -> Service,Test-Drive → Backyard,Test-Drive → Backyard,Test-Drive [2026-03-18 13:56:58 → 2026-03-18 14:22:20] ; Backyard [2026-03-18 14:22:21 → ∅],Test-Drive [2026-03-18T13:56:58.185 → 2026-03-18T14:22:20.437] ; Backyard [2026-03-18T14:22:21.437 → ∅],DIFF
KA6574CE,2026-03-19 08:40:17 Service -> Drive-In,,,,,OK
KA7000CX,2026-03-17 15:01:59 Drive-In -> Service ; 2026-03-17 15:02:43 Service In ; 2026-03-18 10:19:48 Drive-In -> Service ; 2026-03-18 10:20:51 Parking Out ; 2026-03-18 14:06:08 Service -> Drive-In ; 2026-03-18 14:17:52 Drive-In -> Service,Backyard → Service → Backyard → Parking* → Test-Drive → Backyard,Backyard → Service → Backyard → Test-Drive → Backyard,Backyard [2026-03-17 15:01:59 → 2026-03-17 15:02:42] ; Service [2026-03-17 15:02:43 → 2026-03-18 10:19:47] ; Backyard [2026-03-18 10:19:48 → 2026-03-18 14:06:07] ; Parking [∅ → 2026-03-18 10:20:51] ; Test-Drive [2026-03-18 14:06:08 → 2026-03-18 14:17:51] ; Backyard [2026-03-18 14:17:52 → ∅],Backyard [2026-03-17T15:01:59.947 → 2026-03-17T15:02:42.928] ; Service [2026-03-17T15:02:43.928 → 2026-03-18T10:19:47.848] ; Backyard [2026-03-18T10:19:48.848 → 2026-03-18T14:06:07.428] ; Test-Drive [2026-03-18T14:06:08.428 → 2026-03-18T14:17:51.812] ; Backyard [2026-03-18T14:17:52.812 → ∅],DIFF
